0,1,2,3
dihydrochloride,,,
"1,1-Dichloro-2,2-bis(p-","developmental, male",72-55-9,"March 30, 2010"
chlorophenyl)ethylene (DDE),,,
"1,4-Dichloro-2-butene",cancer,764-41-0,"January 1, 1990"
"3,3’-Dichloro-4,4’-diaminodiphenyl",cancer,28434-86-8,"January 1, 1988"
ether,,,
"1,1-Dichloroethane",cancer,75-34-3,"January 1, 1990"
Dichloromethane (Methylene,cancer,75-09-2,"April 1, 1988"
chloride),,,
"1,4-Dichloro-2-nitrobenzene",cancer,89-61-2,"September 13, 2019"
"2,4-Dichloro-1-nitrobenzene",cancer,611-06-3,"September 13, 2019"
Dichlorophene,developmental,97-23-4,"April 27, 1999"
"1,2-Dichloropropane",cancer,78-87-5,"January 1, 1990"
"1,3-Dichloro-2-propanol (1,3-DCP)",cancer,96-23-1,"October 8, 2010"
"1,3-Dichloropropene",cancer,542-75-6,"January 1, 1989"
Dichlorphenamide,developmental,120-97-8,"February 27, 2001"
Diclofop-methyl,cancer,51338-27-3,"April 6, 2010"
Diclofop methyl,developmental,51338-27-3,"March 5, 1999"
Dicumarol,developmental,66-76-2,"October 1, 1992"
Dieldrin,cancer,60-57-1,"July 1, 1988"
"Dienestrol, Delisted January 4, 2013",cancer,84-17-3,"January 1, 1990"
Diepoxybutane,cancer,1464-53-5,"January 1, 1988"
Diesel engine exhaust,cancer,---,"October 1, 1990"
Diethanolamine,cancer,111-42-2,"June 22, 2012"
Di(2-ethylhexyl)phthalate (DEHP),cancer,117-81-7,"January 1, 1988"
Di(2-ethylhexyl)phthalate (DEHP),"developmental, male",117-81-7,"October 24, 2003"
"1,2-Diethylhydrazine",cancer,1615-80-1,"January 1, 1988"
Diethylstilbestrol (DES),cancer,56-53-1,"February 27, 1987"
Diethylstilbestrol (DES),developmental,56-53-1,"July 1, 1987"
Diethyl sulfate,cancer,64-67-5,"January 1, 1988"
Diflunisal,"developmental, female",22494-42-4,"January 29, 1999"
"Diglycidyl ether, Delisted April 4,",male,2238-07-5,"August 7, 2009"
2014,,,
Diglycidyl resorcinol ether (DGRE),cancer,101-90-6,"July 1, 1989"
Di-n-hexyl phthalate (DnHP),"female, male",84-75-3,"December 2, 2005"
Dihydroergotamine mesylate,developmental,6190-39-2,"May 1, 1997"
Dihydrosafrole,cancer,94-58-6,"January 1, 1988"
Di-isodecyl phthalate (DIDP),developmental,68515-49-,"April 20, 2007"
,,1/26761-40-0,
Diisononyl phthalate (DINP),cancer,---,"December 20, 2013"
Diisopropyl sulfate,cancer,2973-10-6,"April 1, 1993"
Diltiazem hydrochloride,developmental,33286-22-5,"February 27, 2001"
"3,3’-Dimethoxybenzidine (o-",cancer,119-90-4,"January 1, 1988"
Dianisidine),,,
"3,3’-Dimethoxybenzidine",cancer,20325-40-0,"October 1, 1990"
dihydrochloride,,,
"3,3’-Dimethoxybenzidine-based",cancer,---,"June 11, 2004"
"dyes metabolized to 3,3’-",,,
dimethoxybenzidine,,,
"N,N-Dimethylacetamide",cancer,127-19-5,"September 13, 2019"
"N,N-Dimethylacetamide","developmental, male",127-19-5,"May 21, 2010"
4-Dimethylaminoazobenzene,cancer,60-11-7,"January 1, 1988"
Chemical,Type of Toxicity,CAS No.,Date Listed
trans-2-[(Dimethylamino)methyl-,cancer,55738-54-0,"January 1, 1988"
imino]-5-[2-(5-nitro-2-furyl)vinyl]-,,,
"1,3,4-oxadiazole",,,
"7,12-Dimethylbenz(a)anthracene",cancer,57-97-6,"January 1, 1990"
"3,3’-Dimethylbenzidine (ortho-",cancer,119-93-7,"January 1, 1988"
Tolidine),,,
"3,3’-Dimethylbenzidine-based dyes",cancer,---,"June 11, 2004"
"metabolized to 3,3’-",,,
dimethylbenzidine,,,
"3,3’-Dimethylbenzidine",cancer,612-82-8,"April 1, 1992"
dihydrochloride,,,
Dimethylcarbamoyl chloride,cancer,79-44-7,"January 1, 1988"
"N,N-Dimethylformamide",cancer,68-12-2,"October 27, 2017"
"1,1-Dimethylhydrazine (UDMH)",cancer,57-14-7,"October 1, 1989"
"1,2-Dimethylhydrazine",cancer,540-73-8,"January 1, 1988"
Dimethyl hydrogen phosphite,cancer,868-85-9,"August 11, 2023"
"2,6-Dimethyl-N-nitrosomorpholine",cancer,1456-28-6,"February 8, 2013"
(DMNM),,,
Dimethyl sulfate,cancer,77-78-1,"January 1, 1988"
"N,N-Dimethyl-p-toluidine",cancer,99-97-8,"May 2, 2014"
Dimethylvinylchloride,cancer,513-37-1,"July 1, 1989"
m-Dinitrobenzene,male,99-65-0,"July 1, 1990"
o-Dinitrobenzene,male,528-29-0,"July 1, 1990"
p-Dinitrobenzene,male,100-25-4,"July 1, 1990"
"3,7-Dinitrofluoranthene",cancer,105735-71-5,"August 26, 1997"
"3,9-Dinitrofluoranthene",cancer,22506-53-2,"August 26, 1997"
"1,3-Dinitropyrene",cancer,75321-20-9,"November 2, 2012"
"1,6-Dinitropyrene",cancer,42397-64-8,"October 1, 1990"
"1,8-Dinitropyrene",cancer,42397-65-9,"October 1, 1990"
Dinitrotoluene (technical grade),"female, male",---,"August 20, 1999"
"2,4-Dinitrotoluene",cancer,121-14-2,"July 1, 1988"
"2,4-Dinitrotoluene",male,121-14-2,"August 20, 1999"
"2,6-Dinitrotoluene",cancer,606-20-2,"July 1, 1995"
"2,6-Dinitrotoluene",male,606-20-2,"August 20, 1999"
"Dinitrotoluene mixture, 2,4-/2,6-",cancer,---,"May 1, 1996"
Dinocap,developmental,39300-45-3,"April 1, 1990"
Dinoseb,"developmental, male",88-85-7,"January 1, 1989"
Di-n-propyl isocinchomeronate,cancer,136-45-8,"May 1, 1996"
(MGK Repellent 326),,,
"1,4-Dioxane",cancer,123-91-1,"January 1, 1988"
Diphenylhydantoin (Phenytoin),cancer,57-41-0,"January 1, 1988"
Diphenylhydantoin (Phenytoin),developmental,57-41-0,"July 1, 1987"
